headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
a,DET,A1,,,
a.m./A.M./am/AM,ADV,A1,,,
about,ADV,A1,,,
about,SCONJ,A1,,,
above,ADV,A1,,,
above,SCONJ,A1,,,
action,NOUN,A1,,,
activity,NOUN,A1,Leisure activities,,"Free time, entertainment"
actor,NOUN,A1,Work and jobs,Film,Personal identification
add,VERB,A1,,,
address,NOUN,A1,Personal information,,Personal identification
afraid,ADJ,A1,,,
after,SCONJ,A1,,,
afternoon,NOUN,A1,,,
again,ADV,A1,,,
age,NOUN,A1,Personal information,,Personal identification
ago,ADV,A1,,,
agree,VERB,A1,,,
airplane/aeroplane,NOUN,A1,Ways of travelling,,Travel
airport,NOUN,A1,Travel and services vocab,"Things in the town, shops and shopping",Travel
album,NOUN,A1,Objects and rooms,,Daily life
all,DET,A1,,,
all,PRON,A1,,,
all right,ADJ,A1,,,
all right,ADV,A1,,,
almost,ADV,A1,,,
alone,ADV,A1,,,
along,ADV,A1,,,
already,ADV,A1,,,
also,ADV,A1,,,
always,ADV,A1,,,
am,be-verb,A1,,,
an,DET,A1,,,
and,conjunction,A1,,,
angry,ADJ,A1,,,
animal,NOUN,A1,,,
another,DET,A1,,,
answer,NOUN,A1,,,
answer,VERB,A1,,,
any,DET,A1,,,
any,PRON,A1,,,
anybody,PRON,A1,,,
anyone,PRON,A1,,,
anything,PRON,A1,,,
apple,NOUN,A1,Food and drink,,Food and drink
April,NOUN,A1,,,
apron,NOUN,A1,Objects and rooms,,Shopping
are,be-verb,A1,,,
arm,NOUN,A1,Personal information,,Health and body care
around,SCONJ,A1,,,
arrive,VERB,A1,,,
art,NOUN,A1,Hobbies and pastimes,Education,"Free time, entertainment"
article,NOUN,A1,Shopping,,"Free time, entertainment"
as,SCONJ,A1,,,
ask,VERB,A1,,,
at,SCONJ,A1,,,
August,NOUN,A1,,,
aunt,NOUN,A1,Family life,,Personal identification
autumn,NOUN,A1,,,
awake,ADJ,A1,,,
away,ADV,A1,,,
baby,NOUN,A1,Family life,,Personal identification
back,ADV,A1,,,
back,NOUN,A1,,,Health and body care
bad,ADJ,A1,,,
bag,NOUN,A1,Shopping,Clothes,Shopping
ball,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
banana,NOUN,A1,Food and drink,,Food and drink
band,NOUN,A1,Clothes,,Shopping
bank,NOUN,A1,"Things in the town, shops and shopping",,Services
bar,NOUN,A1,"Things in the town, shops and shopping",,Food and drink
baseball,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
basketball,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
bat,NOUN,A1,,,"Free time, entertainment"
bath,NOUN,A1,Objects and rooms,,"House and home, environment"
bathroom,NOUN,A1,Objects and rooms,,"House and home, environment"
be,be-verb,A1,,,
beach,NOUN,A1,Holidays,Travel and services vocab,"House and home, environment"
bean,NOUN,A1,Food and drink,,Food and drink
bear,NOUN,A1,,,
beautiful,ADJ,A1,,,
because,conjunction,A1,,,
become,VERB,A1,,,
bed,NOUN,A1,Objects and rooms,,"House and home, environment"
bedroom,NOUN,A1,Objects and rooms,,"House and home, environment"
bee,NOUN,A1,Education,,
beef,NOUN,A1,Food and drink,,Food and drink
before,ADV,A1,,,
before,SCONJ,A1,,,
begin,VERB,A1,,,
behind,ADV,A1,,,
behind,SCONJ,A1,,,
being,be-verb,A1,,,
believe,VERB,A1,,,
bell,NOUN,A1,Objects and rooms,,Shopping
below,ADV,A1,,,
below,SCONJ,A1,,,
beside,SCONJ,A1,,,
best,ADJ,A1,,,
best,ADV,A1,,,
better,ADJ,A1,,,
between,SCONJ,A1,,,
bicycle,NOUN,A1,Leisure activities,,"Free time, entertainment"
big,ADJ,A1,,,
bike,NOUN,A1,Leisure activities,Ways of travelling,Travel
bird,NOUN,A1,,,
birth,NOUN,A1,Family life,,Daily life
birthday,NOUN,A1,Personal information,,Personal identification
biscuit,NOUN,A1,Food and drink,,Food and drink
black,ADJ,A1,,,
black,NOUN,A1,Colours,,
blank,ADJ,A1,,,
block,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
blow,VERB,A1,,,
blue,ADJ,A1,,,
blue,NOUN,A1,Colours,,
board,NOUN,A1,Objects and rooms,,"House and home, environment"
boat,NOUN,A1,Ways of travelling,Leisure activities,Travel
body,NOUN,A1,,,Health and body care
bone,NOUN,A1,,,
book,NOUN,A1,Objects and rooms,,"Free time, entertainment"
bookstore,NOUN,A1,"Things in the town, shops and shopping",,Shopping
boring,ADJ,A1,,,
borrow,VERB,A1,,,
both,ADV,A1,,,
both,DET,A1,,,
both,PRON,A1,,,
bottle,NOUN,A1,Food and drink,,Shopping
bottom,NOUN,A1,,,
bowl,NOUN,A1,Objects and rooms,,Shopping
box,NOUN,A1,Objects and rooms,,Shopping
boy,NOUN,A1,Personal information,,Personal identification
boyfriend,NOUN,A1,Personal information,,Personal identification
brain,NOUN,A1,,,Health and body care
bread,NOUN,A1,Food and drink,,Food and drink
break,VERB,A1,,,
breakfast,NOUN,A1,Food and drink,,Food and drink
breathe,VERB,A1,,,
bridge,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
bright,ADJ,A1,,,
bring,VERB,A1,,,
broken,ADJ,A1,,,
brother,NOUN,A1,Family life,,Personal identification
brown,ADJ,A1,,,
brush,NOUN,A1,Education,Objects and rooms,Shopping
brush,VERB,A1,,,
bucket,NOUN,A1,Objects and rooms,,Shopping
build,VERB,A1,,,
building,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
burger,NOUN,A1,Food and drink,,Food and drink
bus,NOUN,A1,Ways of travelling,"Things in the town, shops and shopping",Travel
business,NOUN,A1,Work and jobs,,Daily life
busy,ADJ,A1,,,
but,conjunction,A1,,,
butter,NOUN,A1,Food and drink,,Food and drink
butterfly,NOUN,A1,,,
button,NOUN,A1,Clothes,,Shopping
buy,VERB,A1,,,
by,SCONJ,A1,,,
bye,NOUN,A1,,,
cafe/caf_,NOUN,A1,"Things in the town, shops and shopping",,Food and drink
cake,NOUN,A1,Food and drink,,Food and drink
call,NOUN,A1,,,Services
camera,NOUN,A1,Objects and rooms,,Travel
camp,NOUN,A1,Leisure activities,,"Free time, entertainment"
can,AUX,A1,,,
candy,NOUN,A1,Food and drink,,Food and drink
cap,NOUN,A1,Clothes,,Shopping
car,NOUN,A1,"Things in the town, shops and shopping",Ways of travelling,Travel
card,NOUN,A1,Shopping,Objects and rooms,Shopping
care,NOUN,A1,,,Health and body care
careful,ADJ,A1,,,
carefully,ADV,A1,,,
carry,VERB,A1,,,
cartoon,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
case,NOUN,A1,Objects and rooms,,
cat,NOUN,A1,,,
catch,NOUN,A1,,,
catch,VERB,A1,,,
CD,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
CD player,NOUN,A1,Objects and rooms,,"House and home, environment"
celebrate,VERB,A1,,,
celebration,NOUN,A1,,,Daily life
chair,NOUN,A1,Objects and rooms,,"House and home, environment"
change,NOUN,A1,,,
change,VERB,A1,,,
character,NOUN,A1,,,Personal identification
check,NOUN,A1,,,Services
cheese,NOUN,A1,Food and drink,,Food and drink
chicken,NOUN,A1,Food and drink,,Food and drink
child,NOUN,A1,Family life,,Personal identification
chocolate,NOUN,A1,Food and drink,,Food and drink
choose,VERB,A1,,,
church,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
cinema,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
circle,NOUN,A1,,,
city,NOUN,A1,,,"House and home, environment"
class,NOUN,A1,Education,,Education
classmate,NOUN,A1,Education,,Relations with other people
classroom,NOUN,A1,Education,,Education
clean,ADJ,A1,,,
clean,VERB,A1,,,
clever,ADJ,A1,,,
climb,NOUN,A1,Leisure activities,,
clock,NOUN,A1,Objects and rooms,,"House and home, environment"
